method,data,type,colums,func,start,end,width,height,errorbound,error,ssim,iterations,totaltime,sqltime
ours,synthetic1m,static,1;2;3;4;5,weightsum,0,-1,1000,600,0.01,0,0,9,0.868,0.263
ours,synthetic1m,static,1;2;3;4;5,weightsum,0,-1,1200,600,0.01,0,0,10,0.944,0.308
ours,synthetic2m,static,1;2;3;4;5,func1,0,-1,200,600,0.01,0,0,1,0.045,0.035
ours,synthetic2m,static,1;2;3;4;5,func1,0,-1,400,600,0.01,0,0,1,0.065,0.046
ours,synthetic2m,static,1;2;3;4;5,func1,0,-1,600,600,0.01,0,0,1,0.100,0.062
ours,synthetic2m,static,1;2;3;4;5,func1,0,-1,800,600,0.01,0,0,1,0.160,0.086
ours,synthetic2m,static,1;2;3;4;5,func1,0,-1,1000,600,0.01,0,0,1,0.165,0.105
ours,synthetic2m,static,1;2;3;4;5,func1,0,-1,1200,600,0.01,0,0,1,0.173,0.101
ours,synthetic2m,static,1;2;3;4;5,boxcox0,0,-1,200,600,0.01,0,0,0,0.029,0.018
ours,synthetic2m,static,1;2;3;4;5,boxcox0,0,-1,400,600,0.01,0,0,0,0.059,0.032
ours,synthetic2m,static,1;2;3;4;5,boxcox0,0,-1,600,600,0.01,0,0,0,0.079,0.044
ours,synthetic2m,static,1;2;3;4;5,boxcox0,0,-1,800,600,0.01,0,0,0,0.130,0.069
ours,synthetic2m,static,1;2;3;4;5,boxcox0,0,-1,1000,600,0.01,0,0,0,0.124,0.064
ours,synthetic2m,static,1;2;3;4;5,boxcox0,0,-1,1200,600,0.01,0,0,0,0.138,0.077
ours,synthetic2m,static,1;2;3;4;5,plus,0,-1,200,600,0.01,0,0,21,0.194,0.102
ours,synthetic2m,static,1;2;3;4;5,plus,0,-1,400,600,0.01,0,0,21,0.346,0.168
ours,synthetic2m,static,1;2;3;4;5,plus,0,-1,600,600,0.01,0,0,21,0.495,0.232
ours,synthetic2m,static,1;2;3;4;5,plus,0,-1,800,600,0.01,0,0,20,0.581,0.281
ours,synthetic2m,static,1;2;3;4;5,plus,0,-1,1000,600,0.01,0,0,10,0.509,0.236
ours,synthetic2m,static,1;2;3;4;5,plus,0,-1,1200,600,0.01,0,0,10,0.603,0.264
ours,synthetic2m,static,1;2;3;4;5,minus,0,-1,200,600,0.01,0,0,19,0.178,0.098
ours,synthetic2m,static,1;2;3;4;5,minus,0,-1,400,600,0.01,0,0,14,0.271,0.141
ours,synthetic2m,static,1;2;3;4;5,minus,0,-1,600,600,0.01,0,0,12,0.335,0.163
ours,synthetic2m,static,1;2;3;4;5,minus,0,-1,800,600,0.01,0,0,12,0.442,0.212
ours,synthetic2m,static,1;2;3;4;5,minus,0,-1,1000,600,0.01,0,0,11,0.464,0.225
ours,synthetic2m,static,1;2;3;4;5,minus,0,-1,1200,600,0.01,0,0,11,0.612,0.268
ours,synthetic2m,static,1;2;3;4;5,multi,0,-1,200,600,0.01,0,0,11,0.132,0.075
ours,synthetic2m,static,1;2;3;4;5,multi,0,-1,400,600,0.01,0,0,12,0.229,0.118
ours,synthetic2m,static,1;2;3;4;5,multi,0,-1,600,600,0.01,0,0,12,0.347,0.164
ours,synthetic2m,static,1;2;3;4;5,multi,0,-1,800,600,0.01,0,0,12,0.427,0.197
ours,synthetic2m,static,1;2;3;4;5,multi,0,-1,1000,600,0.01,0,0,11,0.510,0.226
ours,synthetic2m,static,1;2;3;4;5,multi,0,-1,1200,600,0.01,0,0,11,0.573,0.255
ours,synthetic2m,static,1;2;3;4;5,devide,0,-1,200,600,0.01,0,0,12,0.134,0.074
ours,synthetic2m,static,1;2;3;4;5,devide,0,-1,400,600,0.01,0,0,13,0.242,0.121
ours,synthetic2m,static,1;2;3;4;5,devide,0,-1,600,600,0.01,0,0,12,0.318,0.155
ours,synthetic2m,static,1;2;3;4;5,devide,0,-1,800,600,0.01,0,0,11,0.418,0.199
ours,synthetic2m,static,1;2;3;4;5,devide,0,-1,1000,600,0.01,0,0,11,0.500,0.226
ours,synthetic2m,static,1;2;3;4;5,devide,0,-1,1200,600,0.01,0,0,10,0.523,0.235
ours,synthetic2m,static,1;2;3;4;5,func4,0,-1,200,600,0.01,0,0,55,0.420,0.214
ours,synthetic2m,static,1;2;3;4;5,func4,0,-1,400,600,0.01,0,0,52,0.729,0.357
ours,synthetic2m,static,1;2;3;4;5,func4,0,-1,600,600,0.01,0,0,48,1.093,0.470
ours,synthetic2m,static,1;2;3;4;5,func4,0,-1,800,600,0.01,0,0,34,1.052,0.481
ours,synthetic2m,static,1;2;3;4;5,func4,0,-1,1000,600,0.01,0,0,47,1.552,0.708
ours,synthetic2m,static,1;2;3;4;5,func4,0,-1,1200,600,0.01,0,0,46,1.957,0.809
ours,synthetic2m,static,1;2;3;4;5,mean,0,-1,200,600,0.01,0,0,26,0.347,0.168
ours,synthetic2m,static,1;2;3;4;5,mean,0,-1,400,600,0.01,0,0,23,0.582,0.240
ours,synthetic2m,static,1;2;3;4;5,mean,0,-1,600,600,0.01,0,0,21,0.872,0.330
ours,synthetic2m,static,1;2;3;4;5,mean,0,-1,800,600,0.01,0,0,19,1.022,0.384
ours,synthetic2m,static,1;2;3;4;5,mean,0,-1,1000,600,0.01,0,0,17,1.236,0.436
ours,synthetic2m,static,1;2;3;4;5,mean,0,-1,1200,600,0.01,0,0,15,1.345,0.455
ours,synthetic2m,static,1;2;3;4;5,variance,0,-1,200,600,0.01,0,0,25,0.314,0.134
ours,synthetic2m,static,1;2;3;4;5,variance,0,-1,400,600,0.01,0,0,22,0.558,0.223
ours,synthetic2m,static,1;2;3;4;5,variance,0,-1,600,600,0.01,0,0,16,0.719,0.248
ours,synthetic2m,static,1;2;3;4;5,variance,0,-1,800,600,0.01,0,0,12,0.814,0.261
ours,synthetic2m,static,1;2;3;4;5,variance,0,-1,1000,600,0.01,0,0,12,0.956,0.300
ours,synthetic2m,static,1;2;3;4;5,variance,0,-1,1200,600,0.01,0,0,11,1.043,0.320
ours,synthetic2m,static,1;2;3;4;5,max,0,-1,200,600,0.01,0,0,12,0.124,0.059
ours,synthetic2m,static,1;2;3;4;5,max,0,-1,400,600,0.01,0,0,10,0.234,0.099
ours,synthetic2m,static,1;2;3;4;5,max,0,-1,600,600,0.01,0,0,1,0.228,0.077
ours,synthetic2m,static,1;2;3;4;5,max,0,-1,800,600,0.01,0,0,1,0.349,0.104
ours,synthetic2m,static,1;2;3;4;5,max,0,-1,1000,600,0.01,0,0,1,0.362,0.122
ours,synthetic2m,static,1;2;3;4;5,max,0,-1,1200,600,0.01,0,0,1,0.464,0.133
ours,synthetic2m,static,1;2;3;4;5,L2,0,-1,200,600,0.01,0,0,21,0.333,0.154
ours,synthetic2m,static,1;2;3;4;5,L2,0,-1,400,600,0.01,0,0,22,0.623,0.252
ours,synthetic2m,static,1;2;3;4;5,L2,0,-1,600,600,0.01,0,0,19,0.874,0.315
ours,synthetic2m,static,1;2;3;4;5,L2,0,-1,800,600,0.01,0,0,12,0.829,0.275
ours,synthetic2m,static,1;2;3;4;5,L2,0,-1,1000,600,0.01,0,0,12,1.063,0.328
ours,synthetic2m,static,1;2;3;4;5,L2,0,-1,1200,600,0.01,0,0,11,1.000,0.323
ours,synthetic2m,static,1;2;3;4;5,weightsum,0,-1,200,600,0.01,0,0,17,0.261,0.129
ours,synthetic2m,static,1;2;3;4;5,weightsum,0,-1,400,600,0.01,0,0,16,0.482,0.198
ours,synthetic2m,static,1;2;3;4;5,weightsum,0,-1,600,600,0.01,0,0,18,0.730,0.272
ours,synthetic2m,static,1;2;3;4;5,weightsum,0,-1,800,600,0.01,0,0,13,0.811,0.289
ours,synthetic2m,static,1;2;3;4;5,weightsum,0,-1,1000,600,0.01,0,0,9,0.854,0.301
ours,synthetic2m,static,1;2;3;4;5,weightsum,0,-1,1200,600,0.01,0,0,11,1.062,0.339
ours,synthetic4m,static,1;2;3;4;5,func1,0,-1,200,600,0.01,0,0,1,0.056,0.043
ours,synthetic4m,static,1;2;3;4;5,func1,0,-1,400,600,0.01,0,0,1,0.081,0.056
ours,synthetic4m,static,1;2;3;4;5,func1,0,-1,600,600,0.01,0,0,1,0.127,0.065
ours,synthetic4m,static,1;2;3;4;5,func1,0,-1,800,600,0.01,0,0,1,0.144,0.074
ours,synthetic4m,static,1;2;3;4;5,func1,0,-1,1000,600,0.01,0,0,1,0.178,0.089
ours,synthetic4m,static,1;2;3;4;5,func1,0,-1,1200,600,0.01,0,0,1,0.176,0.096
ours,synthetic4m,static,1;2;3;4;5,boxcox0,0,-1,200,600,0.01,0,0,0,0.036,0.024
ours,synthetic4m,static,1;2;3;4;5,boxcox0,0,-1,400,600,0.01,0,0,0,0.059,0.035
ours,synthetic4m,static,1;2;3;4;5,boxcox0,0,-1,600,600,0.01,0,0,0,0.098,0.049
ours,synthetic4m,static,1;2;3;4;5,boxcox0,0,-1,800,600,0.01,0,0,0,0.118,0.063
ours,synthetic4m,static,1;2;3;4;5,boxcox0,0,-1,1000,600,0.01,0,0,0,0.140,0.072
ours,synthetic4m,static,1;2;3;4;5,boxcox0,0,-1,1200,600,0.01,0,0,0,0.141,0.070
ours,synthetic4m,static,1;2;3;4;5,plus,0,-1,200,600,0.01,0,0,23,0.211,0.123
ours,synthetic4m,static,1;2;3;4;5,plus,0,-1,400,600,0.01,0,0,13,0.277,0.144
ours,synthetic4m,static,1;2;3;4;5,plus,0,-1,600,600,0.01,0,0,11,0.366,0.185
ours,synthetic4m,static,1;2;3;4;5,plus,0,-1,800,600,0.01,0,0,13,0.495,0.238
ours,synthetic4m,static,1;2;3;4;5,plus,0,-1,1000,600,0.01,0,0,11,0.648,0.299
ours,synthetic4m,static,1;2;3;4;5,plus,0,-1,1200,600,0.01,0,0,12,0.789,0.336
ours,synthetic4m,static,1;2;3;4;5,minus,0,-1,200,600,0.01,0,0,24,0.237,0.133
ours,synthetic4m,static,1;2;3;4;5,minus,0,-1,400,600,0.01,0,0,17,0.340,0.173
ours,synthetic4m,static,1;2;3;4;5,minus,0,-1,600,600,0.01,0,0,12,0.433,0.195
ours,synthetic4m,static,1;2;3;4;5,minus,0,-1,800,600,0.01,0,0,12,0.544,0.263
ours,synthetic4m,static,1;2;3;4;5,minus,0,-1,1000,600,0.01,0,0,12,0.687,0.311
ours,synthetic4m,static,1;2;3;4;5,minus,0,-1,1200,600,0.01,0,0,12,0.787,0.347
ours,synthetic4m,static,1;2;3;4;5,multi,0,-1,200,600,0.01,0,0,11,0.171,0.090
ours,synthetic4m,static,1;2;3;4;5,multi,0,-1,400,600,0.01,0,0,13,0.274,0.140
ours,synthetic4m,static,1;2;3;4;5,multi,0,-1,600,600,0.01,0,0,12,0.375,0.186
ours,synthetic4m,static,1;2;3;4;5,multi,0,-1,800,600,0.01,0,0,12,0.487,0.236
ours,synthetic4m,static,1;2;3;4;5,multi,0,-1,1000,600,0.01,0,0,12,0.609,0.270
ours,synthetic4m,static,1;2;3;4;5,multi,0,-1,1200,600,0.01,0,0,12,0.736,0.313
ours,synthetic4m,static,1;2;3;4;5,devide,0,-1,200,600,0.01,0,0,13,0.169,0.090
ours,synthetic4m,static,1;2;3;4;5,devide,0,-1,400,600,0.01,0,0,12,0.281,0.137
ours,synthetic4m,static,1;2;3;4;5,devide,0,-1,600,600,0.01,0,0,13,0.391,0.192
ours,synthetic4m,static,1;2;3;4;5,devide,0,-1,800,600,0.01,0,0,12,0.484,0.232
ours,synthetic4m,static,1;2;3;4;5,devide,0,-1,1000,600,0.01,0,0,12,0.631,0.282
ours,synthetic4m,static,1;2;3;4;5,devide,0,-1,1200,600,0.01,0,0,11,0.681,0.302
ours,synthetic4m,static,1;2;3;4;5,func4,0,-1,200,600,0.01,0,0,28,0.289,0.151
ours,synthetic4m,static,1;2;3;4;5,func4,0,-1,400,600,0.01,0,0,28,0.532,0.261
ours,synthetic4m,static,1;2;3;4;5,func4,0,-1,600,600,0.01,0,0,27,0.809,0.360
ours,synthetic4m,static,1;2;3;4;5,func4,0,-1,800,600,0.01,0,0,26,0.973,0.440
ours,synthetic4m,static,1;2;3;4;5,func4,0,-1,1000,600,0.01,0,0,26,1.125,0.534
ours,synthetic4m,static,1;2;3;4;5,func4,0,-1,1200,600,0.01,0,0,26,1.491,0.620
ours,synthetic4m,static,1;2;3;4;5,mean,0,-1,200,600,0.01,0,0,27,0.403,0.202
ours,synthetic4m,static,1;2;3;4;5,mean,0,-1,400,600,0.01,0,0,20,0.632,0.282
ours,synthetic4m,static,1;2;3;4;5,mean,0,-1,600,600,0.01,0,0,19,0.924,0.381
ours,synthetic4m,static,1;2;3;4;5,mean,0,-1,800,600,0.01,0,0,17,1.179,0.451
ours,synthetic4m,static,1;2;3;4;5,mean,0,-1,1000,600,0.01,0,0,16,1.884,0.576
ours,synthetic4m,static,1;2;3;4;5,mean,0,-1,1200,600,0.01,0,0,13,1.410,0.482
ours,synthetic4m,static,1;2;3;4;5,variance,0,-1,200,600,0.01,0,0,22,0.352,0.161
ours,synthetic4m,static,1;2;3;4;5,variance,0,-1,400,600,0.01,0,0,19,0.561,0.236
ours,synthetic4m,static,1;2;3;4;5,variance,0,-1,600,600,0.01,0,0,11,0.648,0.245
ours,synthetic4m,static,1;2;3;4;5,variance,0,-1,800,600,0.01,0,0,12,0.897,0.310
ours,synthetic4m,static,1;2;3;4;5,variance,0,-1,1000,600,0.01,0,0,11,1.036,0.356
ours,synthetic4m,static,1;2;3;4;5,variance,0,-1,1200,600,0.01,0,0,12,1.232,0.398
ours,synthetic4m,static,1;2;3;4;5,max,0,-1,200,600,0.01,0,0,12,0.138,0.070
ours,synthetic4m,static,1;2;3;4;5,max,0,-1,400,600,0.01,0,0,1,0.162,0.062
ours,synthetic4m,static,1;2;3;4;5,max,0,-1,600,600,0.01,0,0,1,0.270,0.090
ours,synthetic4m,static,1;2;3;4;5,max,0,-1,800,600,0.01,0,0,1,0.276,0.103
ours,synthetic4m,static,1;2;3;4;5,max,0,-1,1000,600,0.01,0,0,1,0.363,0.120
ours,synthetic4m,static,1;2;3;4;5,max,0,-1,1200,600,0.01,0,0,1,0.446,0.131
ours,synthetic4m,static,1;2;3;4;5,L2,0,-1,200,600,0.01,0,0,14,0.325,0.151
ours,synthetic4m,static,1;2;3;4;5,L2,0,-1,400,600,0.01,0,0,10,0.485,0.207
ours,synthetic4m,static,1;2;3;4;5,L2,0,-1,600,600,0.01,0,0,10,0.671,0.259
ours,synthetic4m,static,1;2;3;4;5,L2,0,-1,800,600,0.01,0,0,10,0.885,0.316
ours,synthetic4m,static,1;2;3;4;5,L2,0,-1,1000,600,0.01,0,0,9,1.005,0.354
ours,synthetic4m,static,1;2;3;4;5,L2,0,-1,1200,600,0.01,0,0,11,1.262,0.434
ours,synthetic4m,static,1;2;3;4;5,weightsum,0,-1,200,600,0.01,0,0,23,0.380,0.190
ours,synthetic4m,static,1;2;3;4;5,weightsum,0,-1,400,600,0.01,0,0,16,0.633,0.273
ours,synthetic4m,static,1;2;3;4;5,weightsum,0,-1,600,600,0.01,0,0,10,0.661,0.254
ours,synthetic4m,static,1;2;3;4;5,weightsum,0,-1,800,600,0.01,0,0,11,0.813,0.301
ours,synthetic4m,static,1;2;3;4;5,weightsum,0,-1,1000,600,0.01,0,0,10,1.003,0.348
ours,synthetic4m,static,1;2;3;4;5,weightsum,0,-1,1200,600,0.01,0,0,11,1.186,0.390
ours,synthetic8m,static,1;2;3;4;5,func1,0,-1,200,600,0.01,0,0,1,0.061,0.047
ours,synthetic8m,static,1;2;3;4;5,func1,0,-1,400,600,0.01,0,0,1,0.098,0.057
ours,synthetic8m,static,1;2;3;4;5,func1,0,-1,600,600,0.01,0,0,1,0.139,0.076
ours,synthetic8m,static,1;2;3;4;5,func1,0,-1,800,600,0.01,0,0,1,0.169,0.090
ours,synthetic8m,static,1;2;3;4;5,func1,0,-1,1000,600,0.01,0,0,1,0.201,0.105
ours,synthetic8m,static,1;2;3;4;5,func1,0,-1,1200,600,0.01,0,0,1,0.216,0.116
ours,synthetic8m,static,1;2;3;4;5,boxcox0,0,-1,200,600,0.01,0,0,0,0.054,0.027
ours,synthetic8m,static,1;2;3;4;5,boxcox0,0,-1,400,600,0.01,0,0,0,0.068,0.039
ours,synthetic8m,static,1;2;3;4;5,boxcox0,0,-1,600,600,0.01,0,0,0,0.117,0.058
ours,synthetic8m,static,1;2;3;4;5,boxcox0,0,-1,800,600,0.01,0,0,0,0.141,0.074
ours,synthetic8m,static,1;2;3;4;5,boxcox0,0,-1,1000,600,0.01,0,0,0,0.201,0.088
ours,synthetic8m,static,1;2;3;4;5,boxcox0,0,-1,1200,600,0.01,0,0,0,0.191,0.103
ours,synthetic8m,static,1;2;3;4;5,plus,0,-1,200,600,0.01,0,0,11,0.250,0.162
ours,synthetic8m,static,1;2;3;4;5,plus,0,-1,400,600,0.01,0,0,10,0.439,0.253
ours,synthetic8m,static,1;2;3;4;5,plus,0,-1,600,600,0.01,0,0,12,0.631,0.361
ours,synthetic8m,static,1;2;3;4;5,plus,0,-1,800,600,0.01,0,0,10,0.816,0.451
ours,synthetic8m,static,1;2;3;4;5,plus,0,-1,1000,600,0.01,0,0,12,0.982,0.535
ours,synthetic8m,static,1;2;3;4;5,plus,0,-1,1200,600,0.01,0,0,10,0.910,0.481
ours,synthetic8m,static,1;2;3;4;5,minus,0,-1,200,600,0.01,0,0,11,0.211,0.112
ours,synthetic8m,static,1;2;3;4;5,minus,0,-1,400,600,0.01,0,0,10,0.347,0.191
ours,synthetic8m,static,1;2;3;4;5,minus,0,-1,600,600,0.01,0,0,12,0.488,0.231
ours,synthetic8m,static,1;2;3;4;5,minus,0,-1,800,600,0.01,0,0,12,0.796,0.427
ours,synthetic8m,static,1;2;3;4;5,minus,0,-1,1000,600,0.01,0,0,13,0.918,0.494
ours,synthetic8m,static,1;2;3;4;5,minus,0,-1,1200,600,0.01,0,0,12,0.974,0.462
ours,synthetic8m,static,1;2;3;4;5,multi,0,-1,200,600,0.01,0,0,14,0.197,0.109
ours,synthetic8m,static,1;2;3;4;5,multi,0,-1,400,600,0.01,0,0,12,0.335,0.167
ours,synthetic8m,static,1;2;3;4;5,multi,0,-1,600,600,0.01,0,0,13,0.497,0.249
ours,synthetic8m,static,1;2;3;4;5,multi,0,-1,800,600,0.01,0,0,13,0.759,0.361
ours,synthetic8m,static,1;2;3;4;5,multi,0,-1,1000,600,0.01,0,0,12,0.854,0.433
ours,synthetic8m,static,1;2;3;4;5,multi,0,-1,1200,600,0.01,0,0,11,0.974,0.452
ours,synthetic8m,static,1;2;3;4;5,devide,0,-1,200,600,0.01,0,0,12,0.232,0.127
ours,synthetic8m,static,1;2;3;4;5,devide,0,-1,400,600,0.01,0,0,11,0.370,0.189
ours,synthetic8m,static,1;2;3;4;5,devide,0,-1,600,600,0.01,0,0,12,0.501,0.240
ours,synthetic8m,static,1;2;3;4;5,devide,0,-1,800,600,0.01,0,0,12,0.598,0.300
ours,synthetic8m,static,1;2;3;4;5,devide,0,-1,1000,600,0.01,0,0,11,0.724,0.361
ours,synthetic8m,static,1;2;3;4;5,devide,0,-1,1200,600,0.01,0,0,11,0.897,0.403
ours,synthetic8m,static,1;2;3;4;5,func4,0,-1,200,600,0.01,0,0,29,0.348,0.184
ours,synthetic8m,static,1;2;3;4;5,func4,0,-1,400,600,0.01,0,0,30,0.691,0.335
ours,synthetic8m,static,1;2;3;4;5,func4,0,-1,600,600,0.01,0,0,28,0.955,0.443
ours,synthetic8m,static,1;2;3;4;5,func4,0,-1,800,600,0.01,0,0,27,1.182,0.544
ours,synthetic8m,static,1;2;3;4;5,func4,0,-1,1000,600,0.01,0,0,27,1.513,0.675
ours,synthetic8m,static,1;2;3;4;5,func4,0,-1,1200,600,0.01,0,0,28,2.013,0.864
ours,synthetic8m,static,1;2;3;4;5,mean,0,-1,200,600,0.01,0,0,20,0.529,0.260
ours,synthetic8m,static,1;2;3;4;5,mean,0,-1,400,600,0.01,0,0,9,0.682,0.281
ours,synthetic8m,static,1;2;3;4;5,mean,0,-1,600,600,0.01,0,0,9,0.839,0.347
ours,synthetic8m,static,1;2;3;4;5,mean,0,-1,800,600,0.01,0,0,8,1.172,0.447
ours,synthetic8m,static,1;2;3;4;5,mean,0,-1,1000,600,0.01,0,0,9,1.389,0.504
ours,synthetic8m,static,1;2;3;4;5,mean,0,-1,1200,600,0.01,0,0,9,1.460,0.512
ours,synthetic8m,static,1;2;3;4;5,variance,0,-1,200,600,0.01,0,0,20,0.472,0.226
ours,synthetic8m,static,1;2;3;4;5,variance,0,-1,400,600,0.01,0,0,10,0.540,0.237
ours,synthetic8m,static,1;2;3;4;5,variance,0,-1,600,600,0.01,0,0,11,0.782,0.308
ours,synthetic8m,static,1;2;3;4;5,variance,0,-1,800,600,0.01,0,0,11,1.031,0.385
ours,synthetic8m,static,1;2;3;4;5,variance,0,-1,1000,600,0.01,0,0,11,1.309,0.455
ours,synthetic8m,static,1;2;3;4;5,variance,0,-1,1200,600,0.01,0,0,12,1.511,0.511
ours,synthetic8m,static,1;2;3;4;5,max,0,-1,200,600,0.01,0,0,6,0.191,0.101
ours,synthetic8m,static,1;2;3;4;5,max,0,-1,400,600,0.01,0,0,1,0.209,0.072
ours,synthetic8m,static,1;2;3;4;5,max,0,-1,600,600,0.01,0,0,1,0.257,0.101
ours,synthetic8m,static,1;2;3;4;5,max,0,-1,800,600,0.01,0,0,1,0.379,0.115
ours,synthetic8m,static,1;2;3;4;5,max,0,-1,1000,600,0.01,0,0,1,0.448,0.134
ours,synthetic8m,static,1;2;3;4;5,max,0,-1,1200,600,0.01,0,0,1,0.536,0.150
ours,synthetic8m,static,1;2;3;4;5,L2,0,-1,200,600,0.01,0,0,11,0.335,0.160
ours,synthetic8m,static,1;2;3;4;5,L2,0,-1,400,600,0.01,0,0,11,0.589,0.244
ours,synthetic8m,static,1;2;3;4;5,L2,0,-1,600,600,0.01,0,0,11,0.875,0.325
ours,synthetic8m,static,1;2;3;4;5,L2,0,-1,800,600,0.01,0,0,9,1.080,0.404
ours,synthetic8m,static,1;2;3;4;5,L2,0,-1,1000,600,0.01,0,0,9,1.134,0.405
ours,synthetic8m,static,1;2;3;4;5,L2,0,-1,1200,600,0.01,0,0,9,1.485,0.500
ours,synthetic8m,static,1;2;3;4;5,weightsum,0,-1,200,600,0.01,0,0,22,0.492,0.246
ours,synthetic8m,static,1;2;3;4;5,weightsum,0,-1,400,600,0.01,0,0,13,0.631,0.259
ours,synthetic8m,static,1;2;3;4;5,weightsum,0,-1,600,600,0.01,0,0,12,0.794,0.302
ours,synthetic8m,static,1;2;3;4;5,weightsum,0,-1,800,600,0.01,0,0,13,1.049,0.380
ours,synthetic8m,static,1;2;3;4;5,weightsum,0,-1,1000,600,0.01,0,0,12,1.293,0.436
ours,synthetic8m,static,1;2;3;4;5,weightsum,0,-1,1200,600,0.01,0,0,12,1.481,0.479
ours,synthetic16m,static,1;2;3;4;5,func1,0,-1,200,600,0.01,0,0,1,0.075,0.048
ours,synthetic16m,static,1;2;3;4;5,func1,0,-1,400,600,0.01,0,0,1,0.115,0.059
ours,synthetic16m,static,1;2;3;4;5,func1,0,-1,600,600,0.01,0,0,1,0.147,0.076
ours,synthetic16m,static,1;2;3;4;5,func1,0,-1,800,600,0.01,0,0,1,0.193,0.095
ours,synthetic16m,static,1;2;3;4;5,func1,0,-1,1000,600,0.01,0,0,1,0.204,0.096
ours,synthetic16m,static,1;2;3;4;5,func1,0,-1,1200,600,0.01,0,0,1,0.232,0.124
ours,synthetic16m,static,1;2;3;4;5,boxcox0,0,-1,200,600,0.01,0,0,0,0.041,0.023
ours,synthetic16m,static,1;2;3;4;5,boxcox0,0,-1,400,600,0.01,0,0,0,0.087,0.039
ours,synthetic16m,static,1;2;3;4;5,boxcox0,0,-1,600,600,0.01,0,0,0,0.108,0.053
ours,synthetic16m,static,1;2;3;4;5,boxcox0,0,-1,800,600,0.01,0,0,0,0.154,0.071
ours,synthetic16m,static,1;2;3;4;5,boxcox0,0,-1,1000,600,0.01,0,0,0,0.189,0.091
ours,synthetic16m,static,1;2;3;4;5,boxcox0,0,-1,1200,600,0.01,0,0,0,0.203,0.103
ours,synthetic16m,static,1;2;3;4;5,plus,0,-1,200,600,0.01,0,0,20,0.279,0.149
ours,synthetic16m,static,1;2;3;4;5,plus,0,-1,400,600,0.01,0,0,13,0.419,0.182
ours,synthetic16m,static,1;2;3;4;5,plus,0,-1,600,600,0.01,0,0,11,0.513,0.250
ours,synthetic16m,static,1;2;3;4;5,plus,0,-1,800,600,0.01,0,0,13,0.736,0.320
ours,synthetic16m,static,1;2;3;4;5,plus,0,-1,1000,600,0.01,0,0,13,0.828,0.369
ours,synthetic16m,static,1;2;3;4;5,plus,0,-1,1200,600,0.01,0,0,13,1.132,0.558
ours,synthetic16m,static,1;2;3;4;5,minus,0,-1,200,600,0.01,0,0,23,0.383,0.226
ours,synthetic16m,static,1;2;3;4;5,minus,0,-1,400,600,0.01,0,0,13,0.433,0.202
ours,synthetic16m,static,1;2;3;4;5,minus,0,-1,600,600,0.01,0,0,14,0.664,0.297
ours,synthetic16m,static,1;2;3;4;5,minus,0,-1,800,600,0.01,0,0,13,0.861,0.460
ours,synthetic16m,static,1;2;3;4;5,minus,0,-1,1000,600,0.01,0,0,13,0.970,0.540
ours,synthetic16m,static,1;2;3;4;5,minus,0,-1,1200,600,0.01,0,0,13,1.105,0.557
ours,synthetic16m,static,1;2;3;4;5,multi,0,-1,200,600,0.01,0,0,14,0.251,0.127
ours,synthetic16m,static,1;2;3;4;5,multi,0,-1,400,600,0.01,0,0,16,0.356,0.168
ours,synthetic16m,static,1;2;3;4;5,multi,0,-1,600,600,0.01,0,0,14,0.564,0.250
ours,synthetic16m,static,1;2;3;4;5,multi,0,-1,800,600,0.01,0,0,15,0.728,0.348
ours,synthetic16m,static,1;2;3;4;5,multi,0,-1,1000,600,0.01,0,0,14,0.842,0.375
ours,synthetic16m,static,1;2;3;4;5,multi,0,-1,1200,600,0.01,0,0,14,1.040,0.463
ours,synthetic16m,static,1;2;3;4;5,devide,0,-1,200,600,0.01,0,0,13,0.286,0.152
ours,synthetic16m,static,1;2;3;4;5,devide,0,-1,400,600,0.01,0,0,15,0.435,0.217
ours,synthetic16m,static,1;2;3;4;5,devide,0,-1,600,600,0.01,0,0,14,0.658,0.307
ours,synthetic16m,static,1;2;3;4;5,devide,0,-1,800,600,0.01,0,0,14,0.779,0.391
ours,synthetic16m,static,1;2;3;4;5,devide,0,-1,1000,600,0.01,0,0,14,0.862,0.421
ours,synthetic16m,static,1;2;3;4;5,devide,0,-1,1200,600,0.01,0,0,14,0.992,0.460
ours,synthetic16m,static,1;2;3;4;5,func4,0,-1,200,600,0.01,0,0,43,0.572,0.311
ours,synthetic16m,static,1;2;3;4;5,func4,0,-1,400,600,0.01,0,0,42,1.056,0.520
ours,synthetic16m,static,1;2;3;4;5,func4,0,-1,600,600,0.01,0,0,34,1.295,0.598
ours,synthetic16m,static,1;2;3;4;5,func4,0,-1,800,600,0.01,0,0,38,1.952,0.955
ours,synthetic16m,static,1;2;3;4;5,func4,0,-1,1000,600,0.01,0,0,33,2.202,1.068
ours,synthetic16m,static,1;2;3;4;5,func4,0,-1,1200,600,0.01,0,0,32,2.573,1.190
ours,synthetic16m,static,1;2;3;4;5,mean,0,-1,200,600,0.01,0,0,23,0.650,0.295
ours,synthetic16m,static,1;2;3;4;5,mean,0,-1,400,600,0.01,0,0,18,0.935,0.398
ours,synthetic16m,static,1;2;3;4;5,mean,0,-1,600,600,0.01,0,0,9,1.396,0.587
ours,synthetic16m,static,1;2;3;4;5,mean,0,-1,800,600,0.01,0,0,10,1.198,0.476
